date,username,tweet,hashtags,likes_count,sentiment
2018-12-30,pipimerahku,bucin gampang banget cry boroboro sekuat captain marvel,[],0,neutral
2018-12-30,iqmalhakimie_,haahahhah pasal marvel dc sebagainye haihh,[],0,neutral
2018-12-30,skaisahh,hiiiiiii wish closer back coll eeee menyesal rapat orang fangirl marvel ☹️☹️ rindu tengok kau main episodes sedihnya main deh hmm hmm,[],1,negative
2018-12-30,hendryhash5,penonton indonesia mah suka film superhero action dc marvel superhero penuh action ledakan hehehe fanboy marvel dc film menonton bahan debat wkwkwk,[],0,positive
2018-12-30,ahlulsyorga,layan cerita2 marvel kat cinema marvel nih nak jahannam duit cerita berjelajela habis lepas finally terpengaruh nak tengok aquaman kah kah kah,[],0,negative
2018-12-30,shmxxnlight6,teman menonton aquaman pas filmnya kelar credit dijawabnya bikin tercengang 👩🏻 teman 👩🏻‍🚒 👩🏻 nam penggemar film marvel 👩🏻‍🚒 👩🏻‍🚒 oiyaa wkwkw oke selamat menonton,[],0,positive
2018-12-30,tiakomalasari,pemeran munpuni film cerita bagus dipaksain dibandingkan film2 marvel hayati lelah film2 megah ceritanya maksa kosong 😑,[],0,positive
2018-12-30,tiakomalasari,selera suka film ant man venom dibandingkan film2 marvel thor iron man captain america kecuali film kesukaan promonya seheboh film2 marvel ya,[],0,positive
2018-12-30,uzer26,shahmerizzat game marvel champion kat phone mer mer main deh hahaha,[],0,positive
2018-12-30,supermarcheeee,spiderman versi india diterima marvel jepang indonesia,[],0,neutral
2018-12-30,keishadadzie,introducing siri wakandan voiceshuri get wakanda disney marvel blackpanther,[],0,positive
2018-12-30,vaniamakarim,bapakku obses marvel heroes movies harihari duk ulang tengok alahaii,[],0,neutral
2018-12-30,jungjahee,biar dunia editor pro sapa direkrut marvel,[],0,positive
2018-12-30,jenniemaryjane,cie best captain lo bawa captain marvel captain america ya terima kasih chaetwce,[],0,positive
2018-12-30,mgfdyn,film marvel sih,[],0,neutral
2018-12-30,iunatia,spoiler alert ya superheroes marvel berkumpul melawan sih titan ungu thanos bikin film booming endingnya karakternya mati guys,[],0,neutral
2018-12-30,adiwe_are,pengikut fim dc terjejali film disney marvel bias perkembangan dc aquaman jastislik opini pribadi review pribadi film aquaman 🙏🙏,[],2,negative
2018-12-30,iunatia,nih 2018 banget film bagus marvel tanggung mengeluarkan 34 film loh black panther infinity war antman wasp deadpool 2,[],0,neutral
2018-12-30,sethunrl,jihyoulette uname 910 icon 810 header 1010 demen marvel kasih 10,[],0,positive
2018-12-30,aiidanhazy,fan marvel selamat fan dc samasama pengiman fiksi,[],1,neutral
2018-12-30,rsimmon19,taskmaster spidermanps4 marvel playthrough,"['#spidermanps4', '#marvel', '#playthrough']",0,positive
2018-12-30,exfireball_man,hdmarvel vs capcom mega man combo reedit ver,[],0,neutral
2018-12-30,andreantoroy,sold mengapai pajang cumi 😔😔 bikin drop balada beli action figure marvel,[],0,neutral
